,reduced_pattern,correlation,n_runs,mae,rmse,bias
4,bubbly,premoli,9,0.06469620152630091,0.08800611272818568,0.05701761259509998
3,bubbly,lockhart,9,0.06922197028189615,0.08845916404920864,0.05944828566488766
8,bubbly,zivi,9,0.07068434580200278,0.09150471176337117,-0.06420555503392335
1,bubbly,hughmark,9,0.07651955042828122,0.10667632112144569,0.07651955042828122
6,bubbly,steiner,9,0.0872070144121363,0.11460172564892808,0.0872070144121363
5,bubbly,rouhani,9,0.09021168115028513,0.11717760360037878,0.09021168115028513
2,bubbly,kanizawa,9,0.1018896067336048,0.11856680776187165,0.1018896067336048
0,bubbly,alpha_h,9,0.12958595245366156,0.1556342767675055,0.12958595245366156
7,bubbly,tibirica,9,0.15824495566906135,0.17163305985985533,0.15824495566906135
9,dispersed,alpha_h,9,0.17087769561633517,0.19647057254296124,-0.06543042001363696
16,dispersed,tibirica,9,0.18292673531452583,0.21048390728592603,-0.10471075654012917
14,dispersed,rouhani,9,0.18880935152487333,0.22969130988286518,-0.13738407377777997
15,dispersed,steiner,9,0.19286391300824818,0.23495007363661954,-0.14592596443876604
11,dispersed,kanizawa,9,0.20164482662369132,0.25946945366789714,-0.18799323332337967
10,dispersed,hughmark,9,0.20840671541191547,0.2570220444666664,-0.17836658945199207
13,dispersed,premoli,9,0.2467097647869964,0.30817894498945253,-0.2467097647869964
12,dispersed,lockhart,9,0.2870914745589608,0.343301823690953,-0.2870914745589608
17,dispersed,zivi,9,0.4900673591060492,0.5275793961842064,-0.4900673591060492
22,plug,premoli,18,0.07165999759245273,0.08706309696280072,0.036746486173895726
21,plug,lockhart,18,0.0794127946902307,0.0947279865428892,0.04134802264691995
20,plug,kanizawa,18,0.08065215307272737,0.0980910978004958,0.05367665166471909
24,plug,steiner,18,0.11721228479534194,0.1418655390580969,0.11721228479534194
23,plug,rouhani,18,0.12334098970319055,0.14735175291188873,0.12334098970319055
19,plug,hughmark,18,0.12383702497606534,0.1494123559225772,0.12383702497606534
25,plug,tibirica,18,0.14790535011379602,0.16793172630903438,0.14790535011379602
26,plug,zivi,18,0.1485029029292295,0.16929628418352669,-0.1403335600738899
18,plug,alpha_h,18,0.2719031151364043,0.29401821928730804,0.2719031151364043
29,slug,kanizawa,10,0.0620071012551993,0.07067395349193549,-0.0025035772045492845
31,slug,premoli,10,0.0682305068116277,0.08272863753612653,-0.03472347173661864
30,slug,lockhart,10,0.07729373641575235,0.09896736093947088,-0.06453143000428639
28,slug,hughmark,10,0.08832727512678787,0.10391984864153045,0.05395811725572093
33,slug,steiner,10,0.10154019559988099,0.12794592048372946,0.08406531639834447
34,slug,tibirica,10,0.10566207047891692,0.12665346856390508,0.10138175802468341
32,slug,rouhani,10,0.1063125016633637,0.13570540976158696,0.09318047305141582
27,slug,alpha_h,10,0.18300992857468343,0.21626237358414838,0.18300992857468343
35,slug,zivi,10,0.2536302765853671,0.2671518408264705,-0.2536302765853671
43,wavy,tibirica,7,0.020736246427968324,0.024118264825329538,0.008466525667691984
41,wavy,rouhani,7,0.02198741862874609,0.02380649494338988,-0.02198741862874609
42,wavy,steiner,7,0.03220717435374402,0.03355736245504922,-0.03220717435374402
39,wavy,lockhart,7,0.06820353937316412,0.0808739269322483,-0.06509980854457566
38,wavy,kanizawa,7,0.07029691431858379,0.07674185455386387,-0.07029691431858379
37,wavy,hughmark,7,0.07110722807387934,0.07198641836776375,-0.07110722807387934
44,wavy,zivi,7,0.08105347575811359,0.10360258387059806,-0.06998324231307625
36,wavy,alpha_h,7,0.1002980076724495,0.10144430917897851,0.1002980076724495
40,wavy,premoli,7,0.1112597598751848,0.11430136625421869,-0.1112597598751848
